split,pocket_idx,pocket_id,npz_name,pdb_path,ref_ligand_sdf,source_split
ft,12,4a22-A-rec-4a22-so4-lig-tt-docked-1-pocket10,ALF_MYCTU_1_344_0/4a22_A_rec_4a22_so4_lig_tt_docked_1_pocket10.pdb_ALF_MYCTU_1_344_0/4a22_A_rec_4a22_so4_lig_tt_docked_1.sdf,C:\Users\speci\OneDrive\Documents\PCMG\main\data\processed_crossdock_noH_full_temp\val\4a22-A-rec-4a22-so4-lig-tt-docked-1-pocket10.pdb,C:\Users\speci\OneDrive\Documents\PCMG\main\data\processed_crossdock_noH_full_temp\val\4a22-A-rec-4a22-so4-lig-tt-docked-1-pocket10_4a22-A-rec-4a22-so4-lig-tt-docked-1.sdf,val
ft,13,3gs0-A-rec-1u21-p2c-lig-tt-min-0-pocket10,TTHY_HUMAN_21_147_0/3gs0_A_rec_1u21_p2c_lig_tt_min_0_pocket10.pdb_TTHY_HUMAN_21_147_0/3gs0_A_rec_1u21_p2c_lig_tt_min_0.sdf,C:\Users\speci\OneDrive\Documents\PCMG\main\data\processed_crossdock_noH_full_temp\val\3gs0-A-rec-1u21-p2c-lig-tt-min-0-pocket10.pdb,C:\Users\speci\OneDrive\Documents\PCMG\main\data\processed_crossdock_noH_full_temp\val\3gs0-A-rec-1u21-p2c-lig-tt-min-0-pocket10_3gs0-A-rec-1u21-p2c-lig-tt-min-0.sdf,val
ft,14,1o3m-A-rec-3gy3-pnt-lig-tt-docked-3-pocket10,TRY1_BOVIN_66_246_0/1o3m_A_rec_3gy3_pnt_lig_tt_docked_3_pocket10.pdb_TRY1_BOVIN_66_246_0/1o3m_A_rec_3gy3_pnt_lig_tt_docked_3.sdf,C:\Users\speci\OneDrive\Documents\PCMG\main\data\processed_crossdock_noH_full_temp\val\1o3m-A-rec-3gy3-pnt-lig-tt-docked-3-pocket10.pdb,C:\Users\speci\OneDrive\Documents\PCMG\main\data\processed_crossdock_noH_full_temp\val\1o3m-A-rec-3gy3-pnt-lig-tt-docked-3-pocket10_1o3m-A-rec-3gy3-pnt-lig-tt-docked-3.sdf,val
ft,15,2aly-A-rec-1jjc-fa5-lig-tt-docked-0-pocket10,SYFA_THET8_85_350_0/2aly_A_rec_1jjc_fa5_lig_tt_docked_0_pocket10.pdb_SYFA_THET8_85_350_0/2aly_A_rec_1jjc_fa5_lig_tt_docked_0.sdf,C:\Users\speci\OneDrive\Documents\PCMG\main\data\processed_crossdock_noH_full_temp\val\2aly-A-rec-1jjc-fa5-lig-tt-docked-0-pocket10.pdb,C:\Users\speci\OneDrive\Documents\PCMG\main\data\processed_crossdock_noH_full_temp\val\2aly-A-rec-1jjc-fa5-lig-tt-docked-0-pocket10_2aly-A-rec-1jjc-fa5-lig-tt-docked-0.sdf,val
ft,16,1d6w-A-rec-1sl3-170-lig-tt-docked-0-pocket10,THRB_HUMAN_364_622_inhibitor_0/1d6w_A_rec_1sl3_170_lig_tt_docked_0_pocket10.pdb_THRB_HUMAN_364_622_inhibitor_0/1d6w_A_rec_1sl3_170_lig_tt_docked_0.sdf,C:\Users\speci\OneDrive\Documents\PCMG\main\data\processed_crossdock_noH_full_temp\val\1d6w-A-rec-1sl3-170-lig-tt-docked-0-pocket10.pdb,C:\Users\speci\OneDrive\Documents\PCMG\main\data\processed_crossdock_noH_full_temp\val\1d6w-A-rec-1sl3-170-lig-tt-docked-0-pocket10_1d6w-A-rec-1sl3-170-lig-tt-docked-0.sdf,val
ft,17,4ogt-A-rec-4odf-2u1-lig-tt-docked-0-pocket10,MDM2_HUMAN_16_114_0/4ogt_A_rec_4odf_2u1_lig_tt_docked_0_pocket10.pdb_MDM2_HUMAN_16_114_0/4ogt_A_rec_4odf_2u1_lig_tt_docked_0.sdf,C:\Users\speci\OneDrive\Documents\PCMG\main\data\processed_crossdock_noH_full_temp\val\4ogt-A-rec-4odf-2u1-lig-tt-docked-0-pocket10.pdb,C:\Users\speci\OneDrive\Documents\PCMG\main\data\processed_crossdock_noH_full_temp\val\4ogt-A-rec-4odf-2u1-lig-tt-docked-0-pocket10_4ogt-A-rec-4odf-2u1-lig-tt-docked-0.sdf,val
ft,18,5x69-B-rec-5x5q-ump-lig-tt-docked-7-pocket10,TYSY_HUMAN_25_313_raltitrexed_0/5x69_B_rec_5x5q_ump_lig_tt_docked_7_pocket10.pdb_TYSY_HUMAN_25_313_raltitrexed_0/5x69_B_rec_5x5q_ump_lig_tt_docked_7.sdf,C:\Users\speci\OneDrive\Documents\PCMG\main\data\processed_crossdock_noH_full_temp\val\5x69-B-rec-5x5q-ump-lig-tt-docked-7-pocket10.pdb,C:\Users\speci\OneDrive\Documents\PCMG\main\data\processed_crossdock_noH_full_temp\val\5x69-B-rec-5x5q-ump-lig-tt-docked-7-pocket10_5x69-B-rec-5x5q-ump-lig-tt-docked-7.sdf,val
ft,19,3f0s-X-rec-5hf2-u75-lig-tt-docked-1-pocket10,DYR_STAAU_2_158_0/3f0s_X_rec_5hf2_u75_lig_tt_docked_1_pocket10.pdb_DYR_STAAU_2_158_0/3f0s_X_rec_5hf2_u75_lig_tt_docked_1.sdf,C:\Users\speci\OneDrive\Documents\PCMG\main\data\processed_crossdock_noH_full_temp\val\3f0s-X-rec-5hf2-u75-lig-tt-docked-1-pocket10.pdb,C:\Users\speci\OneDrive\Documents\PCMG\main\data\processed_crossdock_noH_full_temp\val\3f0s-X-rec-5hf2-u75-lig-tt-docked-1-pocket10_3f0s-X-rec-5hf2-u75-lig-tt-docked-1.sdf,val
ft,20,4qss-A-rec-5a81-78j-lig-tt-min-0-pocket10,ATAD2_HUMAN_980_1108_0/4qss_A_rec_5a81_78j_lig_tt_min_0_pocket10.pdb_ATAD2_HUMAN_980_1108_0/4qss_A_rec_5a81_78j_lig_tt_min_0.sdf,C:\Users\speci\OneDrive\Documents\PCMG\main\data\processed_crossdock_noH_full_temp\val\4qss-A-rec-5a81-78j-lig-tt-min-0-pocket10.pdb,C:\Users\speci\OneDrive\Documents\PCMG\main\data\processed_crossdock_noH_full_temp\val\4qss-A-rec-5a81-78j-lig-tt-min-0-pocket10_4qss-A-rec-5a81-78j-lig-tt-min-0.sdf,val
ft,21,4da6-A-rec-4dab-hpa-lig-tt-min-0-pocket10,DEOD_BACSU_2_233_0/4da6_A_rec_4dab_hpa_lig_tt_min_0_pocket10.pdb_DEOD_BACSU_2_233_0/4da6_A_rec_4dab_hpa_lig_tt_min_0.sdf,C:\Users\speci\OneDrive\Documents\PCMG\main\data\processed_crossdock_noH_full_temp\val\4da6-A-rec-4dab-hpa-lig-tt-min-0-pocket10.pdb,C:\Users\speci\OneDrive\Documents\PCMG\main\data\processed_crossdock_noH_full_temp\val\4da6-A-rec-4dab-hpa-lig-tt-min-0-pocket10_4da6-A-rec-4dab-hpa-lig-tt-min-0.sdf,val
ft,22,3dol-A-rec-3dlg-gwe-lig-tt-docked-1-pocket10,POL_HV1H2_587_814_0/3dol_A_rec_3dlg_gwe_lig_tt_docked_1_pocket10.pdb_POL_HV1H2_587_814_0/3dol_A_rec_3dlg_gwe_lig_tt_docked_1.sdf,C:\Users\speci\OneDrive\Documents\PCMG\main\data\processed_crossdock_noH_full_temp\val\3dol-A-rec-3dlg-gwe-lig-tt-docked-1-pocket10.pdb,C:\Users\speci\OneDrive\Documents\PCMG\main\data\processed_crossdock_noH_full_temp\val\3dol-A-rec-3dlg-gwe-lig-tt-docked-1-pocket10_3dol-A-rec-3dlg-gwe-lig-tt-docked-1.sdf,val
ft,23,3ehi-X-rec-4g2o-tiy-lig-tt-min-0-pocket10,TYSY_HUMAN_25_313_pep_0/3ehi_X_rec_4g2o_tiy_lig_tt_min_0_pocket10.pdb_TYSY_HUMAN_25_313_pep_0/3ehi_X_rec_4g2o_tiy_lig_tt_min_0.sdf,C:\Users\speci\OneDrive\Documents\PCMG\main\data\processed_crossdock_noH_full_temp\val\3ehi-X-rec-4g2o-tiy-lig-tt-min-0-pocket10.pdb,C:\Users\speci\OneDrive\Documents\PCMG\main\data\processed_crossdock_noH_full_temp\val\3ehi-X-rec-4g2o-tiy-lig-tt-min-0-pocket10_3ehi-X-rec-4g2o-tiy-lig-tt-min-0.sdf,val
ft,24,1ifs-A-rec-1ifs-ade-lig-tt-docked-0-pocket10,RICI_RICCO_36_233_0/1ifs_A_rec_1ifs_ade_lig_tt_docked_0_pocket10.pdb_RICI_RICCO_36_233_0/1ifs_A_rec_1ifs_ade_lig_tt_docked_0.sdf,C:\Users\speci\OneDrive\Documents\PCMG\main\data\processed_crossdock_noH_full_temp\val\1ifs-A-rec-1ifs-ade-lig-tt-docked-0-pocket10.pdb,C:\Users\speci\OneDrive\Documents\PCMG\main\data\processed_crossdock_noH_full_temp\val\1ifs-A-rec-1ifs-ade-lig-tt-docked-0-pocket10_1ifs-A-rec-1ifs-ade-lig-tt-docked-0.sdf,val
